,Comuna 1,Comuna 10,Comuna 11,Comuna 12,Comuna 13,Comuna 14,Comuna 15,Comuna 16,Comuna 2,Comuna 3,Comuna 4,Comuna 5,Comuna 6,Comuna 7,Comuna 8,Comuna 9,Corregimiento 50,Corregimiento 60,Corregimiento 70,Corregimiento 80,Corregimiento 90,Fecha
95,4.0,18.0,4.0,3.0,1.0,5.0,6.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,7.0,1.0,0.0,5.0,0.0,1.0,0.0,2015-04-06
96,1.0,24.0,2.0,0.0,3.0,4.0,4.0,1.0,1.0,4.0,2.0,0.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,2015-04-07
97,4.0,21.0,2.0,0.0,0.0,4.0,2.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,6.0,3.0,0.0,2.0,1.0,4.0,1.0,2015-04-08
98,2.0,24.0,2.0,2.0,0.0,1.0,6.0,0.0,2.0,2.0,1.0,2.0,7.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2015-04-09
99,5.0,23.0,5.0,1.0,2.0,4.0,7.0,3.0,3.0,4.0,3.0,2.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2015-04-10
100,3.0,27.0,2.0,1.0,3.0,6.0,5.0,1.0,2.0,2.0,2.0,0.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,2015-04-11
101,1.0,21.0,5.0,1.0,2.0,2.0,8.0,2.0,6.0,2.0,1.0,2.0,9.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,2015-04-12
102,4.0,30.0,3.0,1.0,1.0,4.0,6.0,7.0,1.0,2.0,3.0,6.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2015-04-13
103,2.0,24.0,10.0,1.0,1.0,1.0,4.0,2.0,5.0,5.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2015-04-14
104,4.0,21.0,4.0,3.0,1.0,4.0,7.0,1.0,4.0,3.0,1.0,8.0,5.0,2.0,6.0,1.0,1.0,1.0,0.0,4.0,0.0,2015-04-15
105,1.0,31.0,3.0,2.0,3.0,3.0,2.0,8.0,1.0,2.0,3.0,2.0,6.0,1.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,2015-04-16
106,9.0,25.0,3.0,1.0,1.0,5.0,19.0,1.0,3.0,4.0,2.0,3.0,2.0,2.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,2015-04-17
107,3.0,33.0,6.0,2.0,3.0,6.0,7.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,2015-04-18
108,1.0,21.0,4.0,0.0,4.0,4.0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,2015-04-19
109,2.0,25.0,3.0,0.0,0.0,2.0,5.0,5.0,2.0,8.0,3.0,5.0,6.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,2015-04-20
110,2.0,27.0,4.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,0.0,7.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2015-04-21
